天气之子,2019-11-01," 爱情 , 动画 , 奇幻 "
误杀,2019-12-13," 剧情 , 犯罪 "
唐人街探案2,2018-02-16," 喜剧 , 动作 , 悬疑 "
哪吒之魔童降世,2019-07-26," 动画 , 喜剧 , 奇幻 "
少年的你,2019-10-25," 爱情 , 青春 , 剧情 "
哥斯拉2：怪兽之王,2019-05-31," 科幻 , 灾难 , 动作 "
毒液2,2020-06-25," 动作 , 科幻 , 惊悚 , 恐怖 "
战狼2,2017-07-27," 动作 , 战争 "
吹哨人,2019-12-06," 剧情 , 犯罪 , 悬疑 "
恐怖电影院2,2017-10-20," 恐怖 , 惊悚 "
